time,reto
3.0518274307250977,Reto 262
2.7615365982055664,Reto 263
3.1623427867889404,Reto 264
3.1393043994903564,Reto 265
2.745027780532837,Reto 266
3.0871880054473877,Reto 267
2.832385540008545,Reto 268
3.2152099609375,Reto 269
3.1163086891174316,Reto 270
3.2036333084106445,Reto 271
2.7704687118530273,Reto 272
3.0480895042419434,Reto 273
3.523209571838379,Reto 274
4.088573932647705,Reto 275
3.508636236190796,Reto 276
3.015089273452759,Reto 277
3.3491814136505127,Reto 278
3.0846593379974365,Reto 279
3.008079767227173,Reto 280
3.046381950378418,Reto 281
2.770489454269409,Reto 282
2.8499045372009277,Reto 283
3.3570899963378906,Reto 284
3.296997308731079,Reto 285
3.4090428352355957,Reto 286
2.8661446571350098,Reto 287
2.9180538654327393,Reto 288
2.8437094688415527,Reto 289
2.8667213916778564,Reto 290
3.3649160861968994,Reto 291
3.1030123233795166,Reto 292
3.316671371459961,Reto 293
3.0664021968841553,Reto 294
3.146946668624878,Reto 295
3.1112618446350098,Reto 296
3.379153251647949,Reto 297
3.077075719833374,Reto 298
2.925626516342163,Reto 299
2.8680949211120605,Reto 300
12.821580410003662,Reto 301
12.170421361923218,Reto 302
12.23504638671875,Reto 303
12.711626052856445,Reto 304
12.828317642211914,Reto 305
11.842264890670776,Reto 306
11.853821754455566,Reto 307
11.988012075424194,Reto 308
12.341173648834229,Reto 309
12.111392736434937,Reto 310
12.491596937179565,Reto 311
12.611052751541138,Reto 312
